idxes,meps_19_mu,meps_19_std,meps_20_mu,meps_20_std,meps_21_mu,meps_21_std
NRC-RP_w10_MACE_Loss,0.024834880605340004,0.0,0.01452990248799324,0.0,0.005980472546070814,0.0
NRC-RP_w10_AGCE_Loss,0.061663657426834106,0.0,0.03490262106060982,0.0,0.07779800891876221,0.0
NRC-RP_w10_CheckScore,3.2680001258850098,0.0,3.032144784927368,0.0,4.0556111335754395,0.0
NRC-RP_w10_sharpness_90,35.19178009033203,0.0,30.647859573364258,0.0,43.41534423828125,0.0
NRC-RP_w10_coverage_90,0.9018365740776062,0.0,0.9025641083717346,0.0,0.9004467129707336,0.0
NRC-RP_w30_MACE_Loss,0.016420884057879448,0.0,0.00862839538604021,0.0,0.004494491033256054,0.0
NRC-RP_w30_AGCE_Loss,0.062387000769376755,0.0,0.024025969207286835,0.0,0.03685169667005539,0.0
NRC-RP_w30_CheckScore,3.2517647743225098,0.0,3.031506299972534,0.0,4.046698093414307,0.0
NRC-RP_w30_sharpness_90,35.463531494140625,0.0,31.165571212768555,0.0,43.88968276977539,0.0
NRC-RP_w30_coverage_90,0.9024699330329895,0.0,0.9059829115867615,0.0,0.8972558975219727,0.0
NRC-RP_w50_MACE_Loss,0.013706686906516552,0.0,0.007692293729633093,0.0,0.007521204650402069,0.0
NRC-RP_w50_AGCE_Loss,0.028209786862134933,0.0,0.03733768314123154,0.0,0.046860769391059875,0.0
NRC-RP_w50_CheckScore,3.246976852416992,0.0,3.03094482421875,0.0,4.057055473327637,0.0
NRC-RP_w50_sharpness_90,35.715633392333984,0.0,31.500524520874023,0.0,44.617549896240234,0.0
NRC-RP_w50_coverage_90,0.9037365317344666,0.0,0.9076923131942749,0.0,0.8985322117805481,0.0
NRC-RP_w100_MACE_Loss,0.012973849661648273,0.0,0.007610895670950413,0.0,0.008706359192728996,0.0
NRC-RP_w100_AGCE_Loss,0.06690779328346252,0.0,0.024350639432668686,0.0,0.04531390592455864,0.0
NRC-RP_w100_CheckScore,3.248408079147339,0.0,3.0305497646331787,0.0,4.056358814239502,0.0
NRC-RP_w100_sharpness_90,36.03812026977539,0.0,31.733970642089844,0.0,45.140872955322266,0.0
NRC-RP_w100_coverage_90,0.9056364893913269,0.0,0.910541296005249,0.0,0.8991703391075134,0.0
NRC-RF-RP_w10_MACE_Loss,0.004261283669620752,0.0,0.005209593567997217,0.0,0.00806820672005415,0.0
NRC-RF-RP_w10_AGCE_Loss,0.05153710022568703,0.0,0.033279210329055786,0.0,0.05777981877326965,0.0
NRC-RF-RP_w10_CheckScore,2.9575436115264893,0.0,2.9553520679473877,0.0,3.5580568313598633,0.0
NRC-RF-RP_w10_sharpness_90,35.251739501953125,0.0,32.1204833984375,0.0,39.40621566772461,0.0
NRC-RF-RP_w10_coverage_90,0.9056364893913269,0.0,0.9031338691711426,0.0,0.8966177105903625,0.0
NRC-RF-RP_w30_MACE_Loss,0.0038360641337931156,0.0,0.0052910009399056435,0.0,0.010165020823478699,0.0
NRC-RF-RP_w30_AGCE_Loss,0.04972874000668526,0.0,0.03896106407046318,0.0,0.054413095116615295,0.0
NRC-RF-RP_w30_CheckScore,2.9570960998535156,0.0,2.955906629562378,0.0,3.5590057373046875,0.0
NRC-RF-RP_w30_sharpness_90,35.559356689453125,0.0,32.15068817138672,0.0,39.56437683105469,0.0
NRC-RF-RP_w30_coverage_90,0.9056364893913269,0.0,0.9031338691711426,0.0,0.897894024848938,0.0
NRC-RF-RP_w50_MACE_Loss,0.004288429394364357,0.0,0.005372403655201197,0.0,0.010620856657624245,0.0
NRC-RF-RP_w50_AGCE_Loss,0.03616635501384735,0.0,0.024837639182806015,0.0,0.05686987563967705,0.0
NRC-RF-RP_w50_CheckScore,2.957158327102661,0.0,2.9555931091308594,0.0,3.5590507984161377,0.0
NRC-RF-RP_w50_sharpness_90,35.553001403808594,0.0,32.14503479003906,0.0,39.56480407714844,0.0
NRC-RF-RP_w50_coverage_90,0.9056364893913269,0.0,0.9031338691711426,0.0,0.897894024848938,0.0
NRC-RF-RP_w100_MACE_Loss,0.004469380713999271,0.0,0.005209606606513262,0.0,0.010803187265992165,0.0
NRC-RF-RP_w100_AGCE_Loss,0.06329113245010376,0.0,0.030844172462821007,0.0,0.03594175726175308,0.0
NRC-RF-RP_w100_CheckScore,2.9571664333343506,0.0,2.955808639526367,0.0,3.558974266052246,0.0
NRC-RF-RP_w100_sharpness_90,35.553001403808594,0.0,32.23080062866211,0.0,39.56739044189453,0.0
NRC-RF-RP_w100_coverage_90,0.9056364893913269,0.0,0.9031338691711426,0.0,0.897894024848938,0.0
NRC-Layer_w10_MACE_Loss,0.13052566349506378,0.0,0.1309320479631424,0.0,0.14004012942314148,0.0
NRC-Layer_w10_AGCE_Loss,0.15768535435199738,0.0,0.14610391855239868,0.0,0.16023658215999603,0.0
NRC-Layer_w10_CheckScore,3.8688197135925293,0.0,3.9204933643341064,0.0,4.280353546142578,0.0
NRC-Layer_w10_sharpness_90,13.194817543029785,0.0,13.047150611877441,0.0,12.161877632141113,0.0
NRC-Layer_w10_coverage_90,0.48068398237228394,0.0,0.4769230782985687,0.0,0.44160816073417664,0.0
NRC-Layer_w30_MACE_Loss,0.040712930262088776,0.0,0.044118840247392654,0.0,0.05051509663462639,0.0
NRC-Layer_w30_AGCE_Loss,0.06528028100728989,0.0,0.10827923566102982,0.0,0.07106459885835648,0.0
NRC-Layer_w30_CheckScore,3.031984329223633,0.0,3.1857824325561523,0.0,3.383157730102539,0.0
