idxes,boston_mu,boston_std,concrete_mu,concrete_std,energy_mu,energy_std,kin8nm_mu,kin8nm_std,naval_mu,naval_std,power_mu,power_std,wine_mu,wine_std,yacht_mu,yacht_std
PureKernel_w1_MACE_Loss,0.059251992776989934,0.020798563110711973,0.045933805778622626,0.012759105159685825,0.05916634500026703,0.01741935119511604,0.0536054328083992,0.0031504832478247394,0.018823048658668996,0.005162108365872794,0.06348262429237365,0.004165512599898851,0.24275434017181396,0.018218446720294174,0.07462254762649537,0.018458580292630256
PureKernel_w1_AGCE_Loss,0.2920767515897751,0.07283815750984854,0.18072484582662582,0.040242688924944044,0.15890242010354996,0.03547699293798779,0.07323555424809455,0.006991232551610619,0.05056829787790775,0.014813030099962607,0.08344580978155136,0.0033756666379631184,0.3058032214641571,0.02561228655939704,0.3200488805770874,0.050237948150890846
PureKernel_w1_CheckScore,1.0984959125518798,0.13900712591225178,3.068381643295288,0.1844483378169592,0.5907348394393921,0.03558361158926326,0.040741439908742905,0.0009989687834342398,0.002187044778838754,3.507156352600798e-05,1.5801981449127198,0.026966829548884252,0.17151021361351013,0.007674431542216823,2.078775930404663,0.5577091727663483
PureKernel_w1_sharpness_90,9.842692947387695,0.7664570021041871,32.81019477844238,0.8713458049382145,8.921077060699464,0.7120718167358097,0.6447019100189209,0.005459440853766738,0.023080503568053246,3.0367999922744576e-05,26.355946350097657,0.19322903440785413,1.861099910736084,0.046876823316036646,21.131562423706054,2.350752307496514
PureKernel_w1_coverage_90,0.7153846383094787,0.039223232872354054,0.8504854321479798,0.032837926620766546,0.928205156326294,0.022353334787778695,0.9600487589836121,0.0069502393982928505,0.8441841125488281,0.012881588217332613,0.9726513743400573,0.0060650761597934155,0.40977599024772643,0.02247350655483486,0.8625,0.046770717334674264
PureKernel_w4_MACE_Loss,0.06588371023535729,0.02069222013493504,0.03662418276071548,0.009508988596102191,0.05295369699597359,0.01684125334579925,0.014650378935039043,0.002566009064656229,0.019914797879755496,0.00461864575959367,0.03952471688389778,0.0037094529284558905,0.17639326453208923,0.014629553132174173,0.07111845910549164,0.02406440097063829
PureKernel_w4_AGCE_Loss,0.24514665305614472,0.044247840259071886,0.18539919257164,0.036502582129246966,0.1963052421808243,0.00801527791196013,0.05182049199938774,0.0159884685397579,0.06313375234603882,0.008169988088851821,0.06463361904025078,0.008605573810031545,0.22497834265232086,0.014048525490194825,0.31245332956314087,0.039272603221933586
PureKernel_w4_CheckScore,1.5181289196014405,0.05038713499438736,4.424374580383301,0.3077261392740551,1.7945266008377074,0.07108279108869324,0.07047023326158523,0.001564984167750369,0.002202901570126414,3.4865189245126574e-05,3.656887674331665,0.05266181871458807,0.22412235736846925,0.010022816032049395,2.5963369369506837,0.41823971050172726
PureKernel_w4_sharpness_90,23.188462448120116,1.549344330666695,54.355960083007815,1.8974028276944352,28.93746147155762,0.4756429430231536,0.8659868955612182,0.006241360187128674,0.023000001907348633,0.0,50.65752410888672,0.27584640825280043,2.0570266246795654,0.045376880871911975,45.45318832397461,5.017271581119779
PureKernel_w4_coverage_90,0.934615433216095,0.02307691176732552,0.9203883647918701,0.024096454446300826,0.9538461685180664,0.026399059332956536,0.9239951729774475,0.007492606349113529,0.8393305540084839,0.011338836369629028,0.9317328095436096,0.00635287332258341,0.46028515696525574,0.029570167868377677,0.94375,0.041457809879442496
PureKernel_w7_MACE_Loss,0.06453236900269985,0.02740026111594169,0.03540930300951004,0.01023445004731983,0.040559007227420805,0.012827734764543998,0.012230275012552739,0.0031315179269015662,0.02009171396493912,0.004433927015299951,0.019409276731312274,0.0038188008414750804,0.1670551985502243,0.014286122155525983,0.06891441792249679,0.02478095643457615
PureKernel_w7_AGCE_Loss,0.26421898901462554,0.03870194191062912,0.19304120540618896,0.015291183328617224,0.1730756551027298,0.016724427860264877,0.05262818112969399,0.0018731101359609208,0.05959607362747192,0.0057832467719702305,0.06457315906882286,0.010784554366061546,0.2241109162569046,0.024277209231194842,0.30220524668693544,0.060349086215500114
PureKernel_w7_CheckScore,1.8363423585891723,0.08133300337572878,4.679749011993408,0.3098685267913016,2.4576056957244874,0.07818052043119858,0.07311324030160904,0.0016288865896684729,0.002202989486977458,3.4810046532039513e-05,4.409073162078857,0.06493898542973538,0.23310136198997497,0.01058550427265003,2.7920103073120117,0.4162094981769423
PureKernel_w7_sharpness_90,27.88538513183594,2.6125145313475633,55.7724853515625,1.6315629951723183,29.391564559936523,0.20394680008905572,0.8753247141838074,0.006608517111410747,0.023000001907348633,0.0,52.20156707763672,0.27725682756612574,2.0008147239685057,0.0009978290020273538,46.56393814086914,5.055550412154103
PureKernel_w7_coverage_90,0.934615433216095,0.02307691176732552,0.9165048718452453,0.02648190432379297,0.9205128312110901,0.02051282376051247,0.9149817585945129,0.009352671381560372,0.8393305540084839,0.011338836369629028,0.9127348899841309,0.00831410759511345,0.4354379057884216,0.02070592862461325,0.925,0.046770717334674264
PureKernel_w10_MACE_Loss,0.0628169197589159,0.028661009659822097,0.035004451498389245,0.011474848046199937,0.03708963543176651,0.010402936197851079,0.011990136094391346,0.0032745047236973353,0.020314999483525754,0.004287732016290191,0.015013371314853429,0.004723973413057391,0.16406148076057434,0.01347302281865244,0.06863638833165168,0.024838580447309317
PureKernel_w10_AGCE_Loss,0.3066299021244049,0.043170090552939445,0.16800565123558045,0.051992083438828204,0.18255767822265626,0.030596147277123398,0.06952449083328247,0.009916208224796344,0.06463335826992989,0.010032253201587425,0.06168063208460808,0.01206166764643052,0.22611306011676788,0.009875270047741249,0.2768589913845062,0.03433999876532663
